card_key,card1,card2,card3,card4,card5,card6
22563|399.0|150.0|american express|236.0|credit,22563,399.0,150.0,american express,236.0,credit
16104|111.0|150.0|mastercard|224.0|debit,16104,111.0,150.0,mastercard,224.0,debit
22374|500.0|185.0|mastercard|219.0|credit,22374,500.0,185.0,mastercard,219.0,credit
22006|225.0|150.0|mastercard|224.0|debit,22006,225.0,150.0,mastercard,224.0,debit
11109|225.0|150.0|mastercard|224.0|debit,11109,225.0,150.0,mastercard,224.0,debit
23517|414.0|143.0|visa|226.0|debit,23517,414.0,143.0,visa,226.0,debit
21363|545.0|185.0|visa|138.0|debit,21363,545.0,185.0,visa,138.0,debit
19410|314.0|150.0|mastercard|224.0|debit,19410,314.0,150.0,mastercard,224.0,debit
18358|481.0|150.0|mastercard|224.0|debit,18358,481.0,150.0,mastercard,224.0,debit
16435|321.0|150.0|visa|226.0|debit,16435,321.0,150.0,visa,226.0,debit
20806|321.0|150.0|visa|226.0|debit,20806,321.0,150.0,visa,226.0,debit
14147|545.0|185.0|visa|147.0|credit,14147,545.0,185.0,visa,147.0,credit
13199|512.0|150.0|visa|226.0|debit,13199,512.0,150.0,visa,226.0,debit
17830|567.0|150.0|mastercard|117.0|debit,17830,567.0,150.0,mastercard,117.0,debit
17784|361.0|150.0|visa|226.0|debit,17784,361.0,150.0,visa,226.0,debit
15916|361.0|150.0|visa|226.0|debit,15916,361.0,150.0,visa,226.0,debit
14534|390.0|150.0|mastercard|224.0|debit,14534,390.0,150.0,mastercard,224.0,debit
15908|111.0|150.0|visa|195.0|debit,15908,111.0,150.0,visa,195.0,debit
12010|383.0|150.0|visa|226.0|debit,12010,383.0,150.0,visa,226.0,debit
18454|321.0|150.0|visa|166.0|debit,18454,321.0,150.0,visa,166.0,debit
14796|302.0|150.0|visa|195.0|credit,14796,302.0,150.0,visa,195.0,credit
13610|170.0|150.0|visa|226.0|credit,13610,170.0,150.0,visa,226.0,credit
15469|514.0|150.0|mastercard|224.0|debit,15469,514.0,150.0,mastercard,224.0,debit
10660|276.0|150.0|visa|226.0|debit,10660,276.0,150.0,visa,226.0,debit
17736|264.0|150.0|visa|162.0|credit,17736,264.0,150.0,visa,162.0,credit
23029|111.0|150.0|visa|226.0|debit,23029,111.0,150.0,visa,226.0,debit
18494|111.0|150.0|visa|226.0|debit,18494,111.0,150.0,visa,226.0,debit
22351|440.0|185.0|visa|138.0|debit,22351,440.0,185.0,visa,138.0,debit
11371|512.0|150.0|visa|226.0|debit,11371,512.0,150.0,visa,226.0,debit
22432|553.0|150.0|visa|226.0|debit,22432,553.0,150.0,visa,226.0,debit
16493|111.0|150.0|visa|195.0|debit,16493,111.0,150.0,visa,195.0,debit
16482|321.0|150.0|visa|226.0|credit,16482,321.0,150.0,visa,226.0,credit
15663|455.0|150.0|mastercard|126.0|debit,15663,455.0,150.0,mastercard,126.0,debit
19248|490.0|150.0|visa|226.0|debit,19248,490.0,150.0,visa,226.0,debit
11841|298.0|150.0|visa|226.0|debit,11841,298.0,150.0,visa,226.0,debit
17011|514.0|150.0|mastercard|219.0|credit,17011,514.0,150.0,mastercard,219.0,credit
14350|572.0|150.0|mastercard|224.0|debit,14350,572.0,150.0,mastercard,224.0,debit
19600|111.0|150.0|mastercard|224.0|debit,19600,111.0,150.0,mastercard,224.0,debit
10114|545.0|185.0|visa|102.0|credit,10114,545.0,185.0,visa,102.0,credit
14089|327.0|150.0|discover|223.0|credit,14089,327.0,150.0,discover,223.0,credit
22755|111.0|150.0|mastercard|219.0|credit,22755,111.0,150.0,mastercard,219.0,credit
13611|388.0|150.0|visa|226.0|debit,13611,388.0,150.0,visa,226.0,debit
16535|514.0|150.0|mastercard|102.0|credit,16535,514.0,150.0,mastercard,102.0,credit
12570|263.0|150.0|visa|226.0|debit,12570,263.0,150.0,visa,226.0,debit
15887|479.0|150.0|visa|226.0|debit,15887,479.0,150.0,visa,226.0,debit
14718|318.0|150.0|visa|166.0|debit,14718,318.0,150.0,visa,166.0,debit
11453|555.0|150.0|visa|226.0|credit,11453,555.0,150.0,visa,226.0,credit
19392|304.0|146.0|visa|226.0|credit,19392,304.0,146.0,visa,226.0,credit
13191|215.0|150.0|mastercard|166.0|debit,13191,215.0,150.0,mastercard,166.0,debit
10533|174.0|150.0|visa|226.0|debit,10533,174.0,150.0,visa,226.0,debit
