device_key,DeviceType,DeviceInfo
mobile|SAMSUNG SM-G892A Build/NRD90M,mobile,SAMSUNG SM-G892A Build/NRD90M
mobile|iOS Device,mobile,iOS Device
desktop|Windows,desktop,Windows
desktop|UNKNOWN,desktop,
desktop|MacOS,desktop,MacOS
mobile|UNKNOWN,mobile,
mobile|SM-G930V Build/NRD90M,mobile,SM-G930V Build/NRD90M
mobile|BLADE A602 Build/MRA58K,mobile,BLADE A602 Build/MRA58K
mobile|XT1635-02 Build/NPN26.118-22-2,mobile,XT1635-02 Build/NPN26.118-22-2
mobile|Z970,mobile,Z970
mobile|SM-N920V Build/NRD90M,mobile,SM-N920V Build/NRD90M
mobile|Redmi Note 4 Build/MMB29M,mobile,Redmi Note 4 Build/MMB29M
mobile|Lenovo PB1-750M Build/S100,mobile,Lenovo PB1-750M Build/S100
mobile|LT22i Build/6.2.A.1.100,mobile,LT22i Build/6.2.A.1.100
desktop|rv:52.0,desktop,rv:52.0
mobile|SM-G950U Build/NRD90M,mobile,SM-G950U Build/NRD90M
mobile|LG-H872 Build/NRD90U,mobile,LG-H872 Build/NRD90U
mobile|LG-K500 Build/MMB29M,mobile,LG-K500 Build/MMB29M
mobile|SM-P550 Build/MMB29M,mobile,SM-P550 Build/MMB29M
mobile|SM-J700M Build/MMB29K,mobile,SM-J700M Build/MMB29K
desktop|Trident/7.0,desktop,Trident/7.0
desktop|rv:57.0,desktop,rv:57.0
mobile|SAMSUNG SM-G930T Build/NRD90M,mobile,SAMSUNG SM-G930T Build/NRD90M
mobile|Blade V6 Plus Build/MRA58K,mobile,Blade V6 Plus Build/MRA58K
mobile|BLL-L23 Build/HUAWEIBLL-L23,mobile,BLL-L23 Build/HUAWEIBLL-L23
mobile|KYOCERA-C6742A Build/LMY47V,mobile,KYOCERA-C6742A Build/LMY47V
mobile|F3113 Build/33.2.A.4.70,mobile,F3113 Build/33.2.A.4.70
mobile|D5306 Build/19.4.A.0.182,mobile,D5306 Build/19.4.A.0.182
mobile|M4 SS4457 Build/MRA58K,mobile,M4 SS4457 Build/MRA58K
mobile|SM-G955U Build/NRD90M,mobile,SM-G955U Build/NRD90M
mobile|SM-G610M Build/MMB29K,mobile,SM-G610M Build/MMB29K
mobile|SAMSUNG SM-G935F Build/NRD90M,mobile,SAMSUNG SM-G935F Build/NRD90M
mobile|XT1635-01,mobile,XT1635-01
desktop|rv:56.0,desktop,rv:56.0
mobile|VS500,mobile,VS500
mobile|CAM-L03 Build/HUAWEICAM-L03,mobile,CAM-L03 Build/HUAWEICAM-L03
mobile|RCT6303W87M7 Build/MRA58K,mobile,RCT6303W87M7 Build/MRA58K
mobile|M4 SS4451 Build/LMY47D,mobile,M4 SS4451 Build/LMY47D
mobile|KFFOWI Build/LVY48F,mobile,KFFOWI Build/LVY48F
mobile|Moto E (4) Build/NMA26.42-19,mobile,Moto E (4) Build/NMA26.42-19
mobile|SAMSUNG,mobile,SAMSUNG
mobile|E2306 Build/26.3.A.1.33,mobile,E2306 Build/26.3.A.1.33
mobile|Ilium L910 Build/MRA58K,mobile,Ilium L910 Build/MRA58K
mobile|GT-I9300,mobile,GT-I9300
mobile|LG-H420 Build/LRX21Y,mobile,LG-H420 Build/LRX21Y
desktop|Windows NT 6.2,desktop,Windows NT 6.2
mobile|XT1032 Build/LPBS23.13-56-2,mobile,XT1032 Build/LPBS23.13-56-2
mobile|GT-I9060M Build/KTU84P,mobile,GT-I9060M Build/KTU84P
desktop|rv:38.0,desktop,rv:38.0
mobile|Moto G (4) Build/NPJS25.93-14-10,mobile,Moto G (4) Build/NPJS25.93-14-10
mobile|SM-G530T,mobile,SM-G530T
mobile|LGMP260 Build/NRD90U,mobile,LGMP260 Build/NRD90U
mobile|SM-E500M Build/KTU84P,mobile,SM-E500M Build/KTU84P
mobile|SAMSUNG SM-G950U Build/NRD90M,mobile,SAMSUNG SM-G950U Build/NRD90M
desktop|rv:11.0,desktop,rv:11.0
mobile|SM-G920I Build/NRD90M,mobile,SM-G920I Build/NRD90M
mobile|SAMSUNG SM-J327T Build/NRD90M,mobile,SAMSUNG SM-J327T Build/NRD90M
mobile|SM-G900H Build/MMB29K,mobile,SM-G900H Build/MMB29K
mobile|TRT-L53 Build/HUAWEITRT-L53,mobile,TRT-L53 Build/HUAWEITRT-L53
mobile|Android 6.0.1,mobile,Android 6.0.1
mobile|Moto G Play Build/MPIS24.241-15.3-26,mobile,Moto G Play Build/MPIS24.241-15.3-26
mobile|Nexus 6P Build/OPR5.170623.011,mobile,Nexus 6P Build/OPR5.170623.011
mobile|SGP521,mobile,SGP521
mobile|VS988 Build/NRD90U,mobile,VS988 Build/NRD90U
mobile|SM-G531H Build/LMY48B,mobile,SM-G531H Build/LMY48B
mobile|Moto C Build/NRD90M.063,mobile,Moto C Build/NRD90M.063
mobile|LG-K410 Build/LRX22G,mobile,LG-K410 Build/LRX22G
mobile|SM-G935F Build/MMB29K,mobile,SM-G935F Build/MMB29K
mobile|Moto C Plus Build/NRD90M.05.022,mobile,Moto C Plus Build/NRD90M.05.022
mobile|LG-X180g Build/LMY47I,mobile,LG-X180g Build/LMY47I
mobile|SM-G925P Build/NRD90M,mobile,SM-G925P Build/NRD90M
mobile|es-us,mobile,es-us
mobile|SM-G920V Build/NRD90M,mobile,SM-G920V Build/NRD90M
mobile|SM-G935T Build/NRD90M,mobile,SM-G935T Build/NRD90M
mobile|Moto E (4) Plus Build/NMA26.42-69,mobile,Moto E (4) Plus Build/NMA26.42-69
mobile|SM-G925W8,mobile,SM-G925W8
desktop|rv:48.0,desktop,rv:48.0
mobile|SAMSUNG-SM-G930A Build/NRD90M,mobile,SAMSUNG-SM-G930A Build/NRD90M
mobile|HTC One M9 Build/NRD90M,mobile,HTC One M9 Build/NRD90M
mobile|7055A Build/KVT49L,mobile,7055A Build/KVT49L
mobile|Moto G Play Build/MPIS24.241-15.3-7,mobile,Moto G Play Build/MPIS24.241-15.3-7
mobile|SM-T810 Build/NRD90M,mobile,SM-T810 Build/NRD90M
desktop|rv:51.0,desktop,rv:51.0
mobile|SM-N910V Build/MMB29M,mobile,SM-N910V Build/MMB29M
mobile|SM-G930T Build/NRD90M,mobile,SM-G930T Build/NRD90M
mobile|LG-H870 Build/NRD90U,mobile,LG-H870 Build/NRD90U
mobile|SAMSUNG SM-G950U1 Build/NRD90M,mobile,SAMSUNG SM-G950U1 Build/NRD90M
mobile|SAMSUNG SM-S727VL Build/MMB29M,mobile,SAMSUNG SM-S727VL Build/MMB29M
mobile|SM-N920G Build/NRD90M,mobile,SM-N920G Build/NRD90M
mobile|Moto G (5) Plus Build/NPN25.137-72,mobile,Moto G (5) Plus Build/NPN25.137-72
mobile|Moto G (5) Build/NPP25.137-72,mobile,Moto G (5) Build/NPP25.137-72
mobile|SM-G935F Build/NRD90M,mobile,SM-G935F Build/NRD90M
mobile|LG-D373 Build/KOT49I.V10a,mobile,LG-D373 Build/KOT49I.V10a
mobile|ALE-L23 Build/HuaweiALE-L23,mobile,ALE-L23 Build/HuaweiALE-L23
mobile|Z836BL,mobile,Z836BL
mobile|Ilium X710 Build/MRA58K,mobile,Ilium X710 Build/MRA58K
mobile|LG-D680 Build/KOT49I,mobile,LG-D680 Build/KOT49I
mobile|M4 SS4450 Build/MRA58K,mobile,M4 SS4450 Build/MRA58K
mobile|LG-K580 Build/MRA58K,mobile,LG-K580 Build/MRA58K
mobile|SM-J700M Build/LMY48B,mobile,SM-J700M Build/LMY48B
mobile|SM-A710M,mobile,SM-A710M
mobile|Moto Z2 Play Build/NPSS26.118-19-6,mobile,Moto Z2 Play Build/NPSS26.118-19-6
mobile|Moto G (4) Build/NPJ25.93-14.5,mobile,Moto G (4) Build/NPJ25.93-14.5
mobile|Z981 Build/MMB29M,mobile,Z981 Build/MMB29M
mobile|SM-T710 Build/NRD90M,mobile,SM-T710 Build/NRD90M
mobile|SM-T700 Build/MMB29K,mobile,SM-T700 Build/MMB29K
mobile|ONE TOUCH 4033A Build/JDQ39,mobile,ONE TOUCH 4033A Build/JDQ39
mobile|F5121 Build/34.3.A.0.228,mobile,F5121 Build/34.3.A.0.228
mobile|WAS-LX3 Build/HUAWEIWAS-LX3,mobile,WAS-LX3 Build/HUAWEIWAS-LX3
mobile|R8106,mobile,R8106
mobile|MotoG3 Build/MPIS24.65-33.1-2-16,mobile,MotoG3 Build/MPIS24.65-33.1-2-16
mobile|SM-G925I Build/MMB29K,mobile,SM-G925I Build/MMB29K
mobile|HUAWEI VNS-L53 Build/HUAWEIVNS-L53,mobile,HUAWEI VNS-L53 Build/HUAWEIVNS-L53
mobile|Blade V6 Build/LRX22G,mobile,Blade V6 Build/LRX22G
mobile|SM-T113NU Build/KTU84P,mobile,SM-T113NU Build/KTU84P
mobile|SAMSUNG SM-G530H Build/LRX22G,mobile,SAMSUNG SM-G530H Build/LRX22G
mobile|SM-J510MN Build/MMB29M,mobile,SM-J510MN Build/MMB29M
mobile|SM-G950F Build/NRD90M,mobile,SM-G950F Build/NRD90M
mobile|SAMSUNG SM-J700M Build/MMB29K,mobile,SAMSUNG SM-J700M Build/MMB29K
mobile|SM-G570M Build/MMB29K,mobile,SM-G570M Build/MMB29K
mobile|SAMSUNG-SM-G891A Build/NRD90M,mobile,SAMSUNG-SM-G891A Build/NRD90M
mobile|SM-J500M Build/LMY48B,mobile,SM-J500M Build/LMY48B
mobile|SM-J727U Build/NRD90M,mobile,SM-J727U Build/NRD90M
mobile|LGLS676 Build/MXB48T,mobile,LGLS676 Build/MXB48T
mobile|TA-1003,mobile,TA-1003
mobile|SM-G900V Build/MMB29M,mobile,SM-G900V Build/MMB29M
mobile|VK810,mobile,VK810
mobile|KFASWI Build/LVY48F,mobile,KFASWI Build/LVY48F
mobile|SM-J320M Build/LMY47V,mobile,SM-J320M Build/LMY47V
mobile|SM-J120H Build/LMY47V,mobile,SM-J120H Build/LMY47V
mobile|SM-N950U Build/NMF26X,mobile,SM-N950U Build/NMF26X
mobile|LG-D693n Build/LRX22G,mobile,LG-D693n Build/LRX22G
mobile|HUAWEI RIO-L03 Build/HUAWEIRIO-L03,mobile,HUAWEI RIO-L03 Build/HUAWEIRIO-L03
mobile|SAMSUNG SM-G930A Build/NRD90M,mobile,SAMSUNG SM-G930A Build/NRD90M
mobile|5012G Build/MRA58K,mobile,5012G Build/MRA58K
mobile|SM-P350 Build/MMB29M,mobile,SM-P350 Build/MMB29M
mobile|SM-A300H Build/LRX22G,mobile,SM-A300H Build/LRX22G
mobile|Moto,mobile,Moto
mobile|SM-G925V Build/NRD90M,mobile,SM-G925V Build/NRD90M
mobile|SAMSUNG SM-N910A Build/MMB29M,mobile,SAMSUNG SM-N910A Build/MMB29M
mobile|SM-G532M Build/MMB29T,mobile,SM-G532M Build/MMB29T
mobile|5080A Build/MRA58K,mobile,5080A Build/MRA58K
mobile|XT1254 Build/MCG24.251-5-5,mobile,XT1254 Build/MCG24.251-5-5
mobile|KFGIWI Build/LVY48F,mobile,KFGIWI Build/LVY48F
mobile|LG-D331 Build/LRX22G,mobile,LG-D331 Build/LRX22G
mobile|MacOS,mobile,MacOS
mobile|rv:57.0,mobile,rv:57.0
mobile|SM-G950U1 Build/NRD90M,mobile,SM-G950U1 Build/NRD90M
mobile|Pixel,mobile,Pixel
mobile|SM-G900T Build/MMB29M,mobile,SM-G900T Build/MMB29M
mobile|E5606 Build/30.2.A.1.21,mobile,E5606 Build/30.2.A.1.21
mobile|Moto Z2 Play Build/NPS26.74-16-1,mobile,Moto Z2 Play Build/NPS26.74-16-1
mobile|Z410,mobile,Z410
mobile|LG-H500 Build/LRX21Y,mobile,LG-H500 Build/LRX21Y
mobile|HUAWEI TAG-L13 Build/HUAWEITAG-L13,mobile,HUAWEI TAG-L13 Build/HUAWEITAG-L13
mobile|P4526A Build/NRD90M,mobile,P4526A Build/NRD90M
mobile|SM-G900F Build/MMB29M,mobile,SM-G900F Build/MMB29M
mobile|Moto G (4) Build/NPJ25.93-14.7,mobile,Moto G (4) Build/NPJ25.93-14.7
mobile|SM-A510M Build/NRD90M,mobile,SM-A510M Build/NRD90M
mobile|XT1565,mobile,XT1565
mobile|Blade V6 Max Build/MRA58K,mobile,Blade V6 Max Build/MRA58K
mobile|F3213 Build/36.1.A.1.86,mobile,F3213 Build/36.1.A.1.86
mobile|REX,mobile,REX
mobile|Pixel Build/OPR3.170623.013,mobile,Pixel Build/OPR3.170623.013
mobile|XT1585 Build/NCK25.118-10.5,mobile,XT1585 Build/NCK25.118-10.5
mobile|MotoG3-TE,mobile,MotoG3-TE
mobile|Ilium LT510 Build/MRA58K,mobile,Ilium LT510 Build/MRA58K
mobile|SAMSUNG-SM-G870A Build/MMB29M,mobile,SAMSUNG-SM-G870A Build/MMB29M
mobile|SM-A500M Build/KTU84P,mobile,SM-A500M Build/KTU84P
mobile|HTC,mobile,HTC
mobile|SAMSUNG SM-G950F Build/NRD90M,mobile,SAMSUNG SM-G950F Build/NRD90M
mobile|LG-X240 Build/MRA58K,mobile,LG-X240 Build/MRA58K
mobile|KFAUWI Build/LVY48F,mobile,KFAUWI Build/LVY48F
mobile|LG-K428 Build/MMB29M,mobile,LG-K428 Build/MMB29M
mobile|SAMSUNG SM-T580 Build/NRD90M,mobile,SAMSUNG SM-T580 Build/NRD90M
mobile|Edison,mobile,Edison
mobile|Hisense F20 Build/MMB29M,mobile,Hisense F20 Build/MMB29M
mobile|SM-J327V Build/NRD90M,mobile,SM-J327V Build/NRD90M
mobile|LGLS775 Build/NRD90U,mobile,LGLS775 Build/NRD90U
mobile|SM-A710M Build/LMY47X,mobile,SM-A710M Build/LMY47X
mobile|LG-LS777 Build/NRD90U,mobile,LG-LS777 Build/NRD90U
mobile|LG-H320 Build/LRX21Y,mobile,LG-H320 Build/LRX21Y
mobile|QTASUN1 Build/NRD90M,mobile,QTASUN1 Build/NRD90M
mobile|SM-J730G Build/NRD90M,mobile,SM-J730G Build/NRD90M
desktop|rv:58.0,desktop,rv:58.0
mobile|HTC 10 Build/NRD90M,mobile,HTC 10 Build/NRD90M
mobile|XT1063,mobile,XT1063
mobile|VS995 Build/NRD90M,mobile,VS995 Build/NRD90M
mobile|SM-G550T Build/MMB29K,mobile,SM-G550T Build/MMB29K
mobile|SAMSUNG SM-G930P Build/NRD90M,mobile,SAMSUNG SM-G930P Build/NRD90M
mobile|LG-K530 Build/MMB29M,mobile,LG-K530 Build/MMB29M
mobile|SAMSUNG SM-J701M Build/NRD90M,mobile,SAMSUNG SM-J701M Build/NRD90M
mobile|SAMSUNG SM-T587P Build/NRD90M,mobile,SAMSUNG SM-T587P Build/NRD90M
mobile|SM-T530NU Build/LRX22G,mobile,SM-T530NU Build/LRX22G
mobile|SM-S920L,mobile,SM-S920L
mobile|SM-G530H Build/LRX22G,mobile,SM-G530H Build/LRX22G
mobile|LG-V410,mobile,LG-V410
mobile|SAMSUNG SM-G891A Build/NRD90M,mobile,SAMSUNG SM-G891A Build/NRD90M
