case_id,customer_id
CC-0001,C00259
CC-0002,C06403
CC-0003,C05876
CC-0004,C13440
CC-0005,C08945
CC-0006,C11227
CC-0007,C00732
CC-0008,C03667
CC-0009,C10112
CC-0010,C03246
CC-0011,C13259
CC-0012,C07220
CC-0013,C11464
CC-0014,C01002
CC-0015,C04597
CC-0016,C03575
CC-0017,C03651
CC-0018,C06800
CC-0019,C06208
CC-0020,C11082
CC-0021,C04265
CC-0022,C07847
CC-0023,C11309
CC-0024,C06059
CC-0025,C12311
CC-0026,C08842
CC-0027,C02999
CC-0028,C07741
CC-0029,C03277
CC-0030,C04762
CC-0031,C11923
CC-0032,C09289
CC-0033,C05704
CC-0034,C03880
CC-0035,C09196
CC-0036,C03738
CC-0037,C05996
CC-0038,C02717
CC-0039,C13061
CC-0040,C08675
CC-0041,C07648
CC-0042,C12094
CC-0043,C10164
CC-0044,C06147
CC-0045,C07212
CC-0046,C01579
CC-0047,C03108
CC-0048,C11309
CC-0049,C01638
CC-0050,C09221
CC-0051,C05976
CC-0052,C11595
CC-0053,C02000
CC-0054,C05736
CC-0055,C04248
CC-0056,C13171
CC-0057,C12598
CC-0058,C03412
CC-0059,C09165
CC-0060,C03348
CC-0061,C03699
CC-0062,C07867
CC-0063,C11000
CC-0064,C13005
CC-0065,C03839
CC-0066,C10167
CC-0067,C11844
CC-0068,C09076
CC-0069,C01471
CC-0070,C12166
CC-0071,C13372
CC-0072,C12111
CC-0073,C04597
CC-0074,C11496
CC-0075,C05385
CC-0076,C05289
CC-0077,C05385
CC-0078,C00978
CC-0079,C07149
CC-0080,C00938
CC-0081,C06940
CC-0082,C00621
CC-0083,C04201
CC-0084,C12900
CC-0085,C10585
CC-0086,C05307
CC-0087,C11031
CC-0088,C02477
CC-0089,C09354
CC-0090,C00854
CC-0091,C08913
CC-0092,C12517
CC-0093,C07073
CC-0094,C12987
CC-0095,C09301
CC-0096,C13001
CC-0097,C06988
CC-0098,C07508
CC-0099,C06348
CC-0100,C10326
CC-0101,C08075
CC-0102,C02573
CC-0103,C08860
CC-0104,C09933
CC-0105,C09908
CC-0106,C10308
CC-0107,C08945
CC-0108,C11539
CC-0109,C09885
CC-0110,C07855
CC-0111,C11965
CC-0112,C05263
CC-0113,C02575
CC-0114,C06655
CC-0115,C05245
CC-0116,C06532
CC-0117,C03409
CC-0118,C04108
CC-0119,C01981
CC-0120,C09612
CC-0121,C00750
CC-0122,C11919
CC-0123,C07196
CC-0124,C08460
CC-0125,C08466
CC-0126,C04346
CC-0127,C11513
CC-0128,C02891
CC-0129,C01982
CC-0130,C08474
CC-0131,C05029
CC-0132,C10127
CC-0133,C07936
CC-0134,C13036
CC-0135,C01521
CC-0136,C03341
CC-0137,C12982
CC-0138,C01058
CC-0139,C02480
CC-0140,C13440
CC-0141,C01347
CC-0142,C08087
CC-0143,C06121
CC-0144,C10553
CC-0145,C06224
CC-0146,C07870
CC-0147,C06549
CC-0148,C12103
CC-0149,C00967
CC-0150,C00728
CC-0151,C08913
CC-0152,C06942
CC-0153,C12961
CC-0154,C03277
CC-0155,C01984
CC-0156,C03040
CC-0157,C07648
CC-0158,C02309
CC-0159,C11944
CC-0160,C03080
CC-0161,C05362
CC-0162,C03108
CC-0163,C00614
CC-0164,C01966
CC-0165,C06208
CC-0166,C11227
CC-0167,C12897
CC-0168,C01138
CC-0169,C09791
CC-0170,C11332
CC-0171,C12111
CC-0172,C04105
CC-0173,C07686
CC-0174,C05309
CC-0175,C06605
CC-0176,C03278
