TransactionID,id_01,id_02,id_03,id_04,id_05,id_06,id_12,id_13,id_14,id_30,id_31,id_32,id_33,id_34,id_35,id_36,id_37,id_38,DeviceType,DeviceInfo
3005755,0.0,70787.0,,,,,NotFound,,-480.0,Android 7.0,samsung browser 6.2,32.0,2220x1080,match_status:2,T,F,T,T,mobile,SAMSUNG SM-G892A Build/NRD90M
3009321,-5.0,98945.0,,,0.0,-5.0,NotFound,49.0,-300.0,iOS 11.1.2,mobile safari 11.0,32.0,1334x750,match_status:1,T,F,F,T,mobile,iOS Device
3002077,-5.0,191631.0,0.0,0.0,0.0,0.0,NotFound,52.0,,,chrome 62.0,,,,F,F,T,T,desktop,Windows
3002048,-5.0,221832.0,,,0.0,-6.0,NotFound,52.0,,,chrome 62.0,,,,F,F,T,T,desktop,
3012577,0.0,7460.0,0.0,0.0,1.0,0.0,NotFound,,-300.0,Mac OS X 10_11_6,chrome 62.0,24.0,1280x800,match_status:2,T,F,T,T,desktop,MacOS
3002085,-5.0,61141.0,3.0,0.0,3.0,0.0,NotFound,52.0,-300.0,Windows 10,chrome 62.0,24.0,1366x768,match_status:2,T,F,T,T,desktop,Windows
3009324,-15.0,,,,,,NotFound,14.0,,,,,,,,,,,,
3002110,0.0,31964.0,0.0,0.0,0.0,-10.0,Found,,-300.0,Android,chrome 62.0,32.0,1920x1080,match_status:2,T,F,T,T,mobile,
3005830,-10.0,116098.0,0.0,0.0,0.0,0.0,NotFound,52.0,,,chrome 62.0,,,,F,F,T,T,desktop,Windows
3002120,-5.0,257037.0,,,0.0,0.0,NotFound,52.0,,,chrome 62.0,,,,F,F,T,T,desktop,Windows
3005821,-5.0,287959.0,,,1.0,-11.0,NotFound,52.0,,,chrome 62.0,,,,F,F,T,T,desktop,Windows
3012642,0.0,88525.0,,,,,NotFound,,-300.0,Android 7.0,chrome 62.0 for android,32.0,1920x1080,match_status:2,T,F,T,T,mobile,SM-G930V Build/NRD90M
3002118,-5.0,54927.0,0.0,0.0,0.0,-1.0,NotFound,52.0,-360.0,Windows 10,chrome 62.0,24.0,1680x1050,match_status:2,T,F,T,T,desktop,Windows
3009380,0.0,69542.0,0.0,0.0,2.0,-4.0,Found,,-300.0,Linux,chrome 62.0,32.0,1920x1080,match_status:2,T,F,T,T,desktop,
3000038,0.0,132356.0,,,1.0,-6.0,NotFound,,-300.0,iOS 11.1.2,mobile safari 11.0,32.0,1136x640,match_status:1,T,F,T,T,mobile,iOS Device
3002145,0.0,275611.0,,,0.0,0.0,NotFound,20.0,,,chrome 62.0 for android,,,,F,F,T,T,mobile,BLADE A602 Build/MRA58K
3002149,-5.0,419136.0,,,0.0,0.0,NotFound,52.0,,,chrome 62.0,,,,F,F,T,T,desktop,Windows
3002161,-5.0,436352.0,,,0.0,0.0,NotFound,52.0,,,chrome 62.0,,,,F,F,T,T,desktop,Windows
3002169,-5.0,34810.0,,,1.0,0.0,NotFound,52.0,-300.0,Windows 10,edge 15.0,24.0,,match_status:2,T,F,T,T,desktop,Windows
3005904,-10.0,129080.0,0.0,0.0,9.0,-43.0,Found,49.0,-300.0,iOS 11.0.3,mobile safari generic,32.0,1334x750,match_status:2,T,F,T,F,mobile,iOS Device
3000028,0.0,264818.0,,,0.0,0.0,NotFound,,-300.0,Android 7.0,chrome 62.0 for android,32.0,1920x1080,match_status:2,T,F,T,T,mobile,SM-G930V Build/NRD90M
3012688,0.0,49557.0,0.0,0.0,0.0,0.0,NotFound,,-300.0,Mac OS X 10_7_5,chrome 49.0,24.0,1280x800,match_status:2,T,T,T,T,desktop,MacOS
3000029,0.0,30696.0,0.0,0.0,0.0,0.0,Found,,-300.0,Android 7.0,chrome 62.0 for android,32.0,1920x1080,match_status:2,T,F,T,T,mobile,SM-G930V Build/NRD90M
3002179,0.0,194580.0,,,12.0,-6.0,NotFound,,,,chrome 62.0 for android,,,,F,F,T,T,mobile,XT1635-02 Build/NPN26.118-22-2
3009370,-15.0,,,,,,NotFound,14.0,,,,,,,,,,,,
3002187,-5.0,252899.0,,,0.0,0.0,NotFound,52.0,,,chrome 62.0,,,,F,F,T,T,desktop,Windows
3000044,-5.0,190935.0,0.0,0.0,6.0,-9.0,NotFound,52.0,,,chrome 62.0,,,,F,F,T,T,desktop,Windows
3002198,0.0,23923.0,0.0,0.0,0.0,0.0,NotFound,,-480.0,Mac OS X 10_12_6,chrome 61.0,24.0,5120x2880,match_status:2,T,F,T,T,desktop,MacOS
3002203,0.0,18305.0,2.0,0.0,2.0,0.0,NotFound,,-300.0,Mac OS X 10_12_6,chrome 62.0,24.0,2880x1800,match_status:2,T,F,T,T,desktop,MacOS
